,Month,Date,Description,$,Amount,Category,Sub_Category
,January,2025-01-27,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,12.7,Debt,
,January,2025-01-27,AFFIRM INC AFFIRM PAY~ Future Amount: 18.35 ~ Tran: ACHDW,$,18.35,Debt,
,January,2025-01-26,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,9.46,Expenses,
,January,2025-01-26,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US",$,0.96,Subscriptions,
,January,2025-01-26,"MCDONALD'S F6119 321 N MORTAN AVE MORTAN, IL, US",$,17.73,Expenses,
,January,2025-01-25,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,11.21,Expenses,
,January,2025-01-25,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US",$,87.18,Expenses,
,January,2025-01-25,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,5.99,Debt,
,January,2025-01-25,"Klarna Corporation Trust Cente Wilmington, DE, US",$,32.44,Debt,
,January,2025-01-25,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,77.73,Expenses,
,January,2025-01-24,"ILSOS ROANOKE VEHICLE 106 W BROAD ST ROANOKE, IL, US",$,463.19,Expenses,
,January,2025-01-23,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US",$,11.36,Debt,
,January,2025-01-23,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,11.93,Expenses,
,January,2025-01-23,MEDIACOM - CHILL EFT PAYMNT,$,160.0,Bills,
,January,2025-01-22,Rocket Money Premium,$,6.0,Expenses,
,January,2025-01-22,AtlasFinancial Payment,$,8.99,Debt,
,January,2025-01-21,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,13.43,Expenses,
,January,2025-01-21,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,
,January,2025-01-21,Bridgecrest DT RETAIL,$,709.0,Debt,
,January,2025-01-21,AFFIRM INC AFFIRM PAY,$,20.17,Debt,
,January,2025-01-20,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,9.26,Expenses,
,January,2025-01-20,"AMAZON.COM*ZC07T3J02 AMAZON.COM SEATTLE, WA, US",$,70.44,Expenses,
,January,2025-01-20,"DIRECTV*STREAM 4331 COMMUNICATIONS DR 800-531-5000, TX, US",$,120.99,Bills,
,January,2025-01-20,"Cracker Barrel 305 HARTMANN DR 800-3339963, TN, US",$,55.43,Expenses,
,January,2025-01-20,"TST*LA FIESTA - MORTON 837 W Jackson St Morton, IL, US",$,57.42,Expenses,
